track 1;
41 "0.0065 0.0982 0.1779 0.1171 0.1708 0.2654 0.0168 0.0217 0.0232 0.0238 0.0239 0.0234 0.0241 0.0244 0.0250 0.4129";
19 "0.0065 0.0985 0.1789 0.1203 0.1731 0.2688 0.0168 0.0217 0.0234 0.0237 0.0238 0.0236 0.0241 0.0243 0.0251 0.4222";
21 "0.0270 0.3383 0.6682 0.1243 0.1789 0.2779 0.0286 0.0271 0.0260 0.0251 0.0245 0.0238 0.0243 0.0244 0.0253 0.4401";
19 "0.0614 0.0924 0.1651 0.1171 0.1710 0.2642 0.0442 0.0347 0.0295 0.0266 0.0253 0.0242 0.0244 0.0244 0.0250 0.4162";
21 "0.3964 0.0449 0.0620 0.1375 0.2058 0.3229 0.2005 0.1093 0.0646 0.0432 0.0331 0.0280 0.0260 0.0253 0.0255 0.4918";
19 "0.0167 0.0172 0.0067 0.1192 0.1762 0.2743 0.0238 0.0248 0.0249 0.0245 0.0241 0.0237 0.0242 0.0244 0.0253 0.4363";
41 "0.4975 0.0332 0.0376 0.1455 0.2194 0.3448 0.2534 0.1344 0.0752 0.0488 0.0360 0.0293 0.0265 0.0255 0.0259 0.5413";
21 "0.5084 0.0187 0.0073 0.1443 0.2176 0.3416 0.2602 0.1371 0.0763 0.0497 0.0361 0.0293 0.0264 0.0254 0.0258 0.5356";
19 "0.5150 0.0184 0.0066 0.1443 0.2173 0.3415 0.2637 0.1387 0.0772 0.0498 0.0361 0.0293 0.0265 0.0254 0.0258 0.5352";
21 "0.5101 0.0184 0.0066 0.1425 0.2139 0.3354 0.2610 0.1377 0.0767 0.0497 0.0361 0.0293 0.0265 0.0254 0.0259 0.5266";
38 "0.5302 0.3540 0.6936 0.1472 0.2184 0.3428 0.2713 0.1428 0.0796 0.0509 0.0370 0.0300 0.0271 0.0259 0.0261 0.5371";
21 "0.5277 0.3584 0.6998 0.1427 0.2141 0.3359 0.2699 0.1424 0.0791 0.0508 0.0370 0.0300 0.0271 0.0259 0.0262 0.5284";
19 "0.4778 0.3095 0.6080 0.1491 0.2191 0.3444 0.2440 0.1299 0.0736 0.0482 0.0358 0.0292 0.0264 0.0254 0.0261 0.5411";
20 "0.5189 0.0770 0.1279 0.1438 0.2163 0.3401 0.2657 0.1400 0.0779 0.0502 0.0365 0.0295 0.0266 0.0255 0.0259 0.5333";
20 "0.5211 0.0403 0.0520 0.1431 0.2154 0.3382 0.2670 0.1406 0.0785 0.0507 0.0369 0.0297 0.0269 0.0255 0.0260 0.5305";
22 "0.5231 0.3591 0.7017 0.1421 0.2129 0.3337 0.2680 0.1411 0.0787 0.0508 0.0370 0.0300 0.0271 0.0258 0.0260 0.5230";
18 "0.5150 0.0184 0.0071 0.1414 0.2121 0.3322 0.2637 0.1388 0.0772 0.0498 0.0361 0.0293 0.0265 0.0254 0.0256 0.5196";
20 "0.4918 0.0695 0.1148 0.1331 0.1985 0.3114 0.2506 0.1337 0.0750 0.0488 0.0360 0.0293 0.0264 0.0254 0.0254 0.4890";
20 "0.5068 0.0330 0.0369 0.1383 0.2062 0.3228 0.2597 0.1367 0.0762 0.0497 0.0361 0.0293 0.0265 0.0254 0.0256 0.5048";
22 "0.5085 0.0184 0.0063 0.1391 0.2078 0.3250 0.2603 0.1371 0.0764 0.0497 0.0360 0.0293 0.0265 0.0254 0.0255 0.5076";
18 "0.5178 0.0768 0.1277 0.1402 0.2107 0.3301 0.2653 0.1397 0.0776 0.0501 0.0364 0.0295 0.0266 0.0254 0.0258 0.5168";
21 "0.4039 0.1056 0.1900 0.1279 0.1918 0.2996 0.2078 0.1126 0.0660 0.0443 0.0337 0.0283 0.0262 0.0254 0.0258 0.4720";
22 "0.4911 0.0300 0.0315 0.1330 0.1975 0.3096 0.2503 0.1334 0.0747 0.0487 0.0360 0.0293 0.0264 0.0254 0.0254 0.4835";
19 "0.3627 0.3597 0.7009 0.1183 0.1734 0.2704 0.1840 0.1004 0.0602 0.0414 0.0322 0.0276 0.0259 0.0253 0.0260 0.4231";
21 "0.3001 0.3556 0.6959 0.1133 0.1665 0.2622 0.1539 0.0866 0.0542 0.0382 0.0308 0.0269 0.0256 0.0251 0.0255 0.3982";
19 "0.1115 0.0680 0.1139 0.1005 0.1449 0.2189 0.0682 0.0459 0.0349 0.0293 0.0266 0.0248 0.0247 0.0248 0.0249 0.3418";
20 "0.0094 0.1702 0.3234 0.0960 0.1355 0.2035 0.0183 0.0222 0.0234 0.0238 0.0238 0.0234 0.0241 0.0243 0.0245 0.3066";
19 "0.3901 0.0225 0.0160 0.1262 0.1869 0.2934 0.1980 0.1082 0.0643 0.0433 0.0332 0.0282 0.0262 0.0254 0.0255 0.4490";
21 "0.1843 0.0200 0.0099 0.1087 0.1587 0.2428 0.1022 0.0620 0.0425 0.0328 0.0283 0.0255 0.0250 0.0249 0.0251 0.3813";
20 "0.1828 0.0193 0.0078 0.1052 0.1527 0.2362 0.1008 0.0609 0.0418 0.0327 0.0282 0.0255 0.0250 0.0250 0.0253 0.4010";
20 "0.4783 0.0375 0.0474 0.1331 0.1972 0.3088 0.2443 0.1300 0.0734 0.0480 0.0353 0.0293 0.0264 0.0254 0.0254 0.4839";
41 "0.3638 0.3578 0.6989 0.1214 0.1797 0.2854 0.1851 0.1016 0.0612 0.0418 0.0325 0.0276 0.0260 0.0253 0.0256 0.4395";
21 "0.0806 0.2056 0.3895 0.0991 0.1459 0.2211 0.0518 0.0385 0.0313 0.0275 0.0256 0.0243 0.0243 0.0245 0.0245 0.3283";
18 "0.4190 0.0189 0.0072 0.1286 0.1920 0.3011 0.2143 0.1160 0.0678 0.0453 0.0341 0.0283 0.0262 0.0254 0.0256 0.4712";
20 "0.0210 0.0343 0.0436 0.0984 0.1410 0.2129 0.0239 0.0250 0.0248 0.0243 0.0241 0.0236 0.0242 0.0244 0.0247 0.3205";
20 "0.4506 0.0186 0.0077 0.1315 0.1955 0.3066 0.2310 0.1237 0.0713 0.0469 0.0350 0.0293 0.0262 0.0254 0.0256 0.4800";
18 "0.4741 0.0293 0.0293 0.1317 0.1958 0.3070 0.2422 0.1290 0.0731 0.0479 0.0352 0.0292 0.0264 0.0254 0.0259 0.4809";
22 "0.4931 0.1262 0.2230 0.1294 0.1988 0.3118 0.2516 0.1336 0.0748 0.0487 0.0359 0.0293 0.0266 0.0255 0.0260 0.4894";
20 "0.4991 0.1041 0.1897 0.1371 0.2019 0.3157 0.2548 0.1350 0.0756 0.0491 0.0361 0.0293 0.0265 0.0255 0.0261 0.4943";
20 "0.4915 0.0957 0.1693 0.1314 0.1956 0.3064 0.2505 0.1336 0.0747 0.0487 0.0358 0.0293 0.0266 0.0255 0.0262 0.4798";
21 "0.5002 0.2382 0.4583 0.1325 0.1967 0.3083 0.2559 0.1354 0.0758 0.0493 0.0360 0.0294 0.0267 0.0256 0.0262 0.4833";
19 "0.4896 0.3339 0.6513 0.1292 0.1918 0.2998 0.2497 0.1326 0.0746 0.0487 0.0359 0.0293 0.0265 0.0254 0.0261 0.4667";
20 "0.4990 0.3553 0.6942 0.1309 0.1944 0.3045 0.2548 0.1350 0.0754 0.0491 0.0360 0.0293 0.0266 0.0255 0.0262 0.4765";
20 "0.5095 0.3263 0.6350 0.1376 0.2049 0.3208 0.2608 0.1375 0.0767 0.0497 0.0361 0.0293 0.0267 0.0256 0.0262 0.5012";
20 "0.4982 0.2482 0.4770 0.1344 0.1996 0.3128 0.2550 0.1350 0.0756 0.0493 0.0360 0.0293 0.0265 0.0255 0.0261 0.4927";
20 "0.4824 0.1436 0.2696 0.1325 0.1966 0.3073 0.2461 0.1309 0.0739 0.0483 0.0356 0.0293 0.0264 0.0254 0.0259 0.4781";
20 "0.4828 0.0678 0.1080 0.1301 0.1961 0.3077 0.2464 0.1309 0.0740 0.0482 0.0355 0.0293 0.0264 0.0254 0.0261 0.4825";
21 "0.4721 0.0580 0.0924 0.1347 0.1984 0.3108 0.2414 0.1287 0.0730 0.0479 0.0353 0.0292 0.0264 0.0254 0.0261 0.4883";
20 "0.4606 0.0618 0.0991 0.1306 0.1930 0.3019 0.2360 0.1262 0.0722 0.0475 0.0352 0.0292 0.0264 0.0254 0.0260 0.4655";
19 "0.4644 0.0588 0.0917 0.1287 0.1913 0.2990 0.2377 0.1270 0.0724 0.0476 0.0352 0.0293 0.0264 0.0254 0.0261 0.4664";
21 "0.2373 0.1509 0.2900 0.1233 0.1757 0.2697 0.1270 0.0750 0.0490 0.0358 0.0297 0.0264 0.0253 0.0249 0.0251 0.4013";
19 "0.3283 0.2686 0.5241 0.1261 0.1829 0.2842 0.1704 0.0949 0.0582 0.0405 0.0319 0.0275 0.0259 0.0253 0.0259 0.4391";
20 "0.3743 0.3326 0.6483 0.1257 0.1863 0.2931 0.1917 0.1047 0.0626 0.0425 0.0327 0.0280 0.0261 0.0251 0.0259 0.4511";
18 "0.3870 0.1345 0.2438 0.1231 0.1851 0.2902 0.1958 0.1072 0.0637 0.0430 0.0328 0.0281 0.0261 0.0254 0.0262 0.4449";
22 "0.0311 0.0222 0.0179 0.1015 0.1459 0.2221 0.0283 0.0270 0.0258 0.0248 0.0243 0.0237 0.0243 0.0244 0.0251 0.3372";
21 "0.0719 0.0179 0.0094 0.1105 0.1615 0.2475 0.0476 0.0367 0.0305 0.0271 0.0255 0.0242 0.0243 0.0245 0.0250 0.3710";
20 "0.0885 0.0195 0.0109 0.1101 0.1608 0.2493 0.0563 0.0402 0.0320 0.0280 0.0259 0.0244 0.0245 0.0247 0.0254 0.3877";
19 "0.1870 0.1970 0.3805 0.1214 0.1728 0.2705 0.1028 0.0624 0.0427 0.0328 0.0283 0.0256 0.0249 0.0249 0.0255 0.4180";
20 "0.0073 0.3551 0.6974 0.1121 0.1636 0.2528 0.0172 0.0217 0.0233 0.0236 0.0236 0.0234 0.0241 0.0244 0.0253 0.3940";
20 "0.3841 0.0425 0.0573 0.1244 0.1850 0.2895 0.1969 0.1076 0.0639 0.0432 0.0331 0.0283 0.0262 0.0254 0.0261 0.4515";
22 "0.2465 0.0383 0.0529 0.1196 0.1757 0.2686 0.1319 0.0772 0.0499 0.0363 0.0298 0.0265 0.0255 0.0249 0.0253 0.4034";
20 "0.0072 0.0173 0.0071 0.1057 0.1539 0.2357 0.0170 0.0216 0.0234 0.0236 0.0237 0.0234 0.0242 0.0244 0.0253 0.3613";
20 "0.1091 0.1049 0.1957 0.1089 0.1557 0.2343 0.0668 0.0457 0.0349 0.0294 0.0265 0.0247 0.0247 0.0245 0.0248 0.3497";
19 "0.2256 0.2001 0.3914 0.1228 0.1770 0.2751 0.1215 0.0718 0.0475 0.0349 0.0293 0.0262 0.0251 0.0249 0.0253 0.4147";
21 "0.2853 0.0201 0.0115 0.1233 0.1830 0.2865 0.1496 0.0838 0.0531 0.0380 0.0306 0.0269 0.0254 0.0253 0.0259 0.4466";
40 "0.4112 0.0187 0.0074 0.1250 0.1858 0.2907 0.2104 0.1143 0.0671 0.0449 0.0341 0.0283 0.0262 0.0253 0.0259 0.4487";
22 "0.0861 0.1319 0.2487 0.1099 0.1601 0.2458 0.0573 0.0413 0.0326 0.0283 0.0261 0.0245 0.0245 0.0247 0.0253 0.3842";
18 "0.3124 0.0485 0.0745 0.1244 0.1836 0.2856 0.1626 0.0912 0.0565 0.0393 0.0313 0.0271 0.0258 0.0251 0.0254 0.4097";
20 "0.3003 0.0845 0.1463 0.1211 0.1769 0.2768 0.1549 0.0872 0.0545 0.0383 0.0309 0.0270 0.0256 0.0251 0.0259 0.4238";
16 "0.3473 0.0402 0.0519 0.1215 0.1800 0.2835 0.1800 0.0986 0.0598 0.0413 0.0322 0.0277 0.0260 0.0254 0.0262 0.4482";
23 "0.4156 0.0287 0.0293 0.1255 0.1864 0.2914 0.2124 0.1152 0.0674 0.0449 0.0341 0.0283 0.0262 0.0254 0.0261 0.4534";
21 "0.4168 0.0260 0.0232 0.1264 0.1865 0.2919 0.2130 0.1155 0.0675 0.0450 0.0341 0.0283 0.0262 0.0254 0.0261 0.4540";
21 "0.4340 0.0765 0.1309 0.1271 0.1878 0.2940 0.2218 0.1195 0.0693 0.0460 0.0342 0.0284 0.0262 0.0254 0.0262 0.4587";
19 "0.3566 0.2003 0.3855 0.1251 0.1822 0.2848 0.1837 0.1012 0.0610 0.0419 0.0325 0.0277 0.0260 0.0253 0.0260 0.4422";
18 "0.3528 0.1000 0.1776 0.1226 0.1807 0.2827 0.1828 0.1005 0.0607 0.0418 0.0325 0.0277 0.0260 0.0253 0.0260 0.4421";
8 "0.4231 0.0847 0.1494 0.1272 0.1884 0.2948 0.2163 0.1170 0.0682 0.0455 0.0342 0.0283 0.0262 0.0254 0.0262 0.4598";
34 "0.4467 0.1016 0.1824 0.1297 0.1931 0.3026 0.2289 0.1227 0.0709 0.0468 0.0350 0.0292 0.0264 0.0254 0.0262 0.4726";
23 "0.1818 0.0825 0.1414 0.1161 0.1709 0.2687 0.1006 0.0604 0.0416 0.0327 0.0282 0.0255 0.0251 0.0250 0.0260 0.4330";
17 "0.4398 0.0846 0.1497 0.1350 0.1968 0.3079 0.2252 0.1212 0.0703 0.0468 0.0349 0.0291 0.0264 0.0254 0.0262 0.4820";
20 "0.4505 0.0343 0.0394 0.1293 0.1928 0.3022 0.2309 0.1239 0.0713 0.0470 0.0350 0.0292 0.0264 0.0254 0.0262 0.4730";
21 "0.3028 0.0183 0.0070 0.1256 0.1857 0.2867 0.1594 0.0902 0.0557 0.0394 0.0314 0.0271 0.0258 0.0251 0.0258 0.4448";
19 "0.3330 0.0195 0.0071 0.1243 0.1842 0.2900 0.1725 0.0950 0.0579 0.0405 0.0319 0.0273 0.0259 0.0254 0.0264 0.4691";
20 "0.4539 0.0225 0.0151 0.1336 0.1990 0.3122 0.2327 0.1246 0.0717 0.0471 0.0350 0.0292 0.0264 0.0254 0.0262 0.4916";
20 "0.4694 0.0671 0.1101 0.1370 0.2053 0.3216 0.2401 0.1279 0.0726 0.0477 0.0352 0.0293 0.0264 0.0254 0.0262 0.5027";
21 "0.4577 0.0289 0.0297 0.1345 0.2002 0.3133 0.2345 0.1256 0.0722 0.0474 0.0352 0.0292 0.0264 0.0254 0.0262 0.4914";
23 "0.4633 0.0869 0.1524 0.1359 0.2013 0.3150 0.2372 0.1267 0.0723 0.0475 0.0352 0.0292 0.0264 0.0254 0.0262 0.4944";
14 "0.4670 0.1093 0.1980 0.1351 0.2017 0.3160 0.2389 0.1276 0.0724 0.0476 0.0350 0.0292 0.0264 0.0254 0.0262 0.4963";
22 "0.4639 0.1223 0.2254 0.1338 0.1990 0.3118 0.2375 0.1270 0.0724 0.0475 0.0352 0.0291 0.0264 0.0254 0.0262 0.4894";
20 "0.4570 0.0475 0.0680 0.1333 0.1986 0.3116 0.2342 0.1253 0.0719 0.0472 0.0352 0.0292 0.0264 0.0254 0.0262 0.4892";
21 "0.4614 0.0497 0.0733 0.1348 0.2002 0.3134 0.2364 0.1262 0.0722 0.0476 0.0352 0.0293 0.0264 0.0254 0.0262 0.4927";
20 "0.4571 0.0403 0.0530 0.1331 0.1980 0.3103 0.2343 0.1254 0.0720 0.0472 0.0352 0.0292 0.0264 0.0254 0.0262 0.4866";
19 "0.4593 0.0463 0.0646 0.1311 0.1961 0.3075 0.2353 0.1260 0.0720 0.0472 0.0352 0.0292 0.0264 0.0254 0.0262 0.4814";
20 "0.4371 0.0743 0.1265 0.1281 0.1889 0.2952 0.2238 0.1205 0.0698 0.0463 0.0346 0.0287 0.0264 0.0254 0.0260 0.4599";
20 "0.2758 0.1975 0.3761 0.1217 0.1798 0.2813 0.1453 0.0827 0.0524 0.0374 0.0304 0.0266 0.0254 0.0250 0.0254 0.4312";
20 "0.0073 0.2248 0.4339 0.1107 0.1604 0.2473 0.0172 0.0217 0.0233 0.0237 0.0238 0.0234 0.0242 0.0243 0.0253 0.3833";
21 "0.3056 0.0604 0.0967 0.1255 0.1856 0.2913 0.1575 0.0877 0.0548 0.0385 0.0309 0.0270 0.0254 0.0254 0.0260 0.4492";
19 "0.2437 0.0586 0.0919 0.1188 0.1756 0.2749 0.1284 0.0740 0.0483 0.0355 0.0297 0.0262 0.0251 0.0250 0.0254 0.4258";
20 "0.0531 0.1283 0.2311 0.1080 0.1637 0.2526 0.0388 0.0324 0.0284 0.0258 0.0249 0.0239 0.0243 0.0244 0.0253 0.3953";
21 "0.0154 0.2797 0.5443 0.1104 0.1607 0.2475 0.0210 0.0236 0.0239 0.0241 0.0241 0.0234 0.0242 0.0244 0.0251 0.3830";
19 "0.3456 0.3080 0.6048 0.1278 0.1851 0.2889 0.1798 0.0986 0.0601 0.0413 0.0322 0.0275 0.0260 0.0254 0.0261 0.4496";
21 "0.3696 0.3504 0.6838 0.1254 0.1865 0.2926 0.1873 0.1029 0.0618 0.0419 0.0326 0.0280 0.0261 0.0253 0.0261 0.4470";
23 "0.1087 0.0343 0.0416 0.1113 0.1635 0.2516 0.0668 0.0450 0.0343 0.0291 0.0264 0.0247 0.0245 0.0245 0.0254 0.3965";
21 "0.4048 0.0718 0.1201 0.1216 0.1801 0.2809 0.2068 0.1124 0.0663 0.0446 0.0338 0.0283 0.0262 0.0254 0.0259 0.4378";
20 "0.4214 0.0380 0.0494 0.1251 0.1852 0.2895 0.2154 0.1166 0.0681 0.0455 0.0342 0.0283 0.0262 0.0254 0.0261 0.4506";
19 "0.3133 0.0391 0.0507 0.1199 0.1771 0.2777 0.1635 0.0910 0.0563 0.0394 0.0314 0.0272 0.0258 0.0253 0.0260 0.4349";
21 "0.4020 0.0446 0.0628 0.1242 0.1840 0.2881 0.2036 0.1112 0.0657 0.0440 0.0336 0.0281 0.0262 0.0254 0.0262 0.4419";
20 "0.3346 0.0272 0.0247 0.1227 0.1817 0.2864 0.1740 0.0956 0.0584 0.0407 0.0319 0.0273 0.0259 0.0254 0.0262 0.4531";
20 "0.4290 0.0227 0.0165 0.1264 0.1869 0.2925 0.2191 0.1183 0.0689 0.0459 0.0342 0.0283 0.0262 0.0254 0.0262 0.4553";
19 "0.4250 0.0510 0.0773 0.1257 0.1856 0.2904 0.2173 0.1173 0.0684 0.0457 0.0342 0.0283 0.0262 0.0254 0.0262 0.4528";
21 "0.1850 0.1123 0.2002 0.1116 0.1691 0.2646 0.1028 0.0621 0.0425 0.0331 0.0282 0.0255 0.0250 0.0249 0.0259 0.4203";
19 "0.4039 0.0763 0.1305 0.1227 0.1806 0.2819 0.2064 0.1123 0.0662 0.0444 0.0337 0.0283 0.0262 0.0254 0.0260 0.4404";
